SurveyDate;ProductId;CustomerId;Rating;Comment;SourceId
2025-02-27;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2024-12-19;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-08-23;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-01-23;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-07-02;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-04-04;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2025-02-04;;;1;Mala calidad, no lo recomiendo para nada.;
2025-08-25;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2024-11-03;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-02-10;;;1;Mala calidad, no lo recomiendo para nada.;
2025-07-08;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-01-24;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2024-12-15;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-04-05;;;5;El producto superó mis expectativas, muy recomendable.;
2025-01-09;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-11-29;;;4;El producto superó mis expectativas, muy recomendable.;
2024-12-08;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-06-11;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2024-10-28;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-03-05;;;5;El producto superó mis expectativas, muy recomendable.;
2024-09-18;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-01-10;;;3;Ni malo ni excelente, simplemente regular.;
2025-07-05;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-07-11;;;1;Mala calidad, no lo recomiendo para nada.;
2025-04-03;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-05-27;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-12-18;;;4;Me encanta, es justo lo que necesitaba.;
2025-07-04;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-07-18;;;3;El envío fue normal, dentro del tiempo esperado.;
2024-11-20;;;3;Ni malo ni excelente, simplemente regular.;
2025-06-25;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-04-10;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-05-21;;;3;Ni malo ni excelente, simplemente regular.;
2024-10-07;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2025-06-23;;;5;Excelente calidad, definitivamente volvería a comprar.;
2025-09-04;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2024-11-24;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-02-18;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2025-06-04;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-08-28;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2024-10-11;;;3;Ni malo ni excelente, simplemente regular.;
2025-02-20;;;2;Mala calidad, no lo recomiendo para nada.;
2024-10-04;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-03-06;;;2;Mala calidad, no lo recomiendo para nada.;
2025-03-18;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2024-12-27;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-08-26;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-01-25;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-04-16;;;5;Me encanta, es justo lo que necesitaba.;
2025-01-27;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-05-14;;;1;Mala calidad, no lo recomiendo para nada.;
2024-11-25;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-10-01;;;1;No era lo que esperaba, muy decepcionado.;
2025-05-27;;;5;Me encanta, es justo lo que necesitaba.;
2024-11-12;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-04-21;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-06-04;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-06-21;;;3;El producto cumple su función, nada especial.;
2024-09-16;;;3;Ni malo ni excelente, simplemente regular.;
2025-05-09;;;2;Mala calidad, no lo recomiendo para nada.;
2025-08-28;;;1;Mala calidad, no lo recomiendo para nada.;
2024-12-16;;;5;Excelente calidad, definitivamente volvería a comprar.;
2025-05-18;;;5;Excelente calidad, definitivamente volvería a comprar.;
2024-11-17;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-02-04;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-07-19;;;5;Me encanta, es justo lo que necesitaba.;
2024-12-15;;;3;El producto cumple su función, nada especial.;
2024-12-08;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2025-01-16;;;4;El producto superó mis expectativas, muy recomendable.;
2024-10-14;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-05-07;;;3;Ni malo ni excelente, simplemente regular.;
2024-12-08;;;5;Excelente calidad, definitivamente volvería a comprar.;
2025-03-17;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-09-07;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-05-09;;;3;El producto cumple su función, nada especial.;
2024-10-13;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-06-28;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-03-28;;;4;Me encanta, es justo lo que necesitaba.;
2025-03-25;;;3;El producto cumple su función, nada especial.;
2025-03-26;;;4;El producto superó mis expectativas, muy recomendable.;
2024-11-07;;;2;Mala calidad, no lo recomiendo para nada.;
2024-11-14;;;5;El producto superó mis expectativas, muy recomendable.;
2025-02-05;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-03-20;;;1;No era lo que esperaba, muy decepcionado.;
2025-06-28;;;4;Excelente calidad, definitivamente volvería a comprar.;
2025-04-21;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2025-01-17;;;1;No era lo que esperaba, muy decepcionado.;
2024-09-28;;;4;Me encanta, es justo lo que necesitaba.;
2025-02-01;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-06-02;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-04-19;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-03-02;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-02-26;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-11-13;;;5;Me encanta, es justo lo que necesitaba.;
2025-01-22;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-09-12;;;1;No era lo que esperaba, muy decepcionado.;
2025-07-03;;;5;El producto superó mis expectativas, muy recomendable.;
2025-05-09;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-08-13;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-02-10;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-01-08;;;2;Mala calidad, no lo recomiendo para nada.;
2025-08-06;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2024-12-26;;;3;El producto cumple su función, nada especial.;
2024-09-14;;;2;El servicio fue lento y el soporte no resolvió mi problema.;
2025-06-21;;;2;El servicio fue lento y el soporte no resolvió mi problema.;
2025-04-11;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-07-04;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2024-12-20;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-04-18;;;1;Mala calidad, no lo recomiendo para nada.;
2024-09-25;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-01-05;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2025-01-10;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-01-28;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-07-27;;;3;Ni malo ni excelente, simplemente regular.;
2025-04-20;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-02-28;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2025-02-21;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2024-10-08;;;1;No era lo que esperaba, muy decepcionado.;
2025-07-23;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-05-31;;;5;Me encanta, es justo lo que necesitaba.;
2025-01-15;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-03-30;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-07-17;;;1;Mala calidad, no lo recomiendo para nada.;
2025-07-10;;;5;Excelente calidad, definitivamente volvería a comprar.;
2025-01-01;;;4;Me encanta, es justo lo que necesitaba.;
2025-06-25;;;3;Ni malo ni excelente, simplemente regular.;
2025-05-05;;;2;Mala calidad, no lo recomiendo para nada.;
2024-10-24;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2025-05-28;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-11-03;;;3;Ni malo ni excelente, simplemente regular.;
2025-03-05;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-05-19;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2024-12-18;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-08-19;;;1;No era lo que esperaba, muy decepcionado.;
2025-01-08;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-09-02;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2024-09-26;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2024-10-25;;;3;Ni malo ni excelente, simplemente regular.;
2025-05-13;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-08-02;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-12-03;;;2;No era lo que esperaba, muy decepcionado.;
2025-09-04;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-06-28;;;4;El producto superó mis expectativas, muy recomendable.;
2025-01-06;;;3;Ni malo ni excelente, simplemente regular.;
2025-01-15;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2024-10-09;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-04-26;;;3;El envío fue normal, dentro del tiempo esperado.;
2024-10-12;;;3;El producto cumple su función, nada especial.;
2025-08-26;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-06-25;;;3;Ni malo ni excelente, simplemente regular.;
2025-05-05;;;5;Excelente calidad, definitivamente volvería a comprar.;
2025-03-28;;;5;Me encanta, es justo lo que necesitaba.;
2025-08-08;;;1;No era lo que esperaba, muy decepcionado.;
2025-01-06;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2024-09-20;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-07-16;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-06-23;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-03-05;;;5;Excelente calidad, definitivamente volvería a comprar.;
2025-05-05;;;3;El producto cumple su función, nada especial.;
2025-04-26;;;3;Ni malo ni excelente, simplemente regular.;
2025-04-01;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2024-11-25;;;3;Ni malo ni excelente, simplemente regular.;
2025-07-29;;;3;El producto cumple su función, nada especial.;
2025-08-04;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-08-28;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-10-21;;;4;Excelente calidad, definitivamente volvería a comprar.;
2025-06-19;;;3;Ni malo ni excelente, simplemente regular.;
2025-08-15;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2024-10-21;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2024-10-25;;;4;Me encanta, es justo lo que necesitaba.;
2024-09-22;;;5;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-08-15;;;4;Me encanta, es justo lo que necesitaba.;
2025-03-18;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-06-02;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2024-11-16;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-07-09;;;5;Excelente calidad, definitivamente volvería a comprar.;
2024-10-16;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-06-10;;;3;El producto cumple su función, nada especial.;
2024-09-26;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-07-25;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-09-14;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-07-24;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-06-27;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2024-10-04;;;1;No era lo que esperaba, muy decepcionado.;
2025-04-29;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-04-12;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2025-03-28;;;3;El producto cumple su función, nada especial.;
2025-08-07;;;5;Me encanta, es justo lo que necesitaba.;
2025-01-15;;;5;Me encanta, es justo lo que necesitaba.;
2024-10-30;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-12-25;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2024-09-19;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2024-10-09;;;4;Me encanta, es justo lo que necesitaba.;
2025-05-06;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-07-02;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-10-07;;;3;La experiencia fue aceptable, aunque podría mejorar.;
2025-01-06;;;3;Ni malo ni excelente, simplemente regular.;
2024-12-16;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2024-11-18;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2024-09-27;;;4;Me encanta, es justo lo que necesitaba.;
2025-06-25;;;3;Ni malo ni excelente, simplemente regular.;
2024-11-04;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2025-09-08;;;5;Excelente calidad, definitivamente volvería a comprar.;
2024-09-26;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2025-01-19;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-09-19;;;3;Ni malo ni excelente, simplemente regular.;
2024-10-04;;;5;El producto llegó en perfecto estado y antes de tiempo.;
2024-10-13;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-02-13;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-08-21;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2025-07-13;;;4;El producto superó mis expectativas, muy recomendable.;
2025-01-22;;;1;El servicio fue lento y el soporte no resolvió mi problema.;
2025-05-04;;;5;Excelente calidad, definitivamente volvería a comprar.;
2025-04-27;;;4;El producto llegó en perfecto estado y antes de tiempo.;
2025-05-09;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2024-10-09;;;2;No era lo que esperaba, muy decepcionado.;
2025-04-11;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2024-10-07;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-09-07;;;3;Ni malo ni excelente, simplemente regular.;
2024-09-24;;;3;El envío fue normal, dentro del tiempo esperado.;
2025-08-08;;;5;Me encanta, es justo lo que necesitaba.;
2025-06-11;;;4;Excelente calidad, definitivamente volvería a comprar.;
2025-08-07;;;3;Ni malo ni excelente, simplemente regular.;
2024-11-01;;;3;Ni malo ni excelente, simplemente regular.;
2025-04-08;;;5;Me encanta, es justo lo que necesitaba.;
2024-09-18;;;3;El producto está bien, pero esperaba un poco más de calidad.;
2024-12-24;;;3;Ni malo ni excelente, simplemente regular.;
2025-03-03;;;3;El producto cumple su función, nada especial.;
2025-03-22;;;5;Me encanta, es justo lo que necesitaba.;
2025-06-06;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-04-03;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-04-11;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-02-11;;;2;No era lo que esperaba, muy decepcionado.;
2024-11-23;;;3;Ni malo ni excelente, simplemente regular.;
2025-01-22;;;1;No era lo que esperaba, muy decepcionado.;
2025-01-02;;;3;Ni malo ni excelente, simplemente regular.;
2025-01-24;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-05-06;;;1;El producto dejó de funcionar al poco tiempo de usarlo.;
2024-12-26;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-06-27;;;1;Mala calidad, no lo recomiendo para nada.;
2025-07-24;;;2;El producto dejó de funcionar al poco tiempo de usarlo.;
2025-08-07;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-04-26;;;2;No era lo que esperaba, muy decepcionado.;
2025-03-24;;;3;El envío fue normal, dentro del tiempo esperado.;
2024-09-17;;;4;Me encanta, es justo lo que necesitaba.;
2024-12-27;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-03-29;;;4;Excelente calidad, definitivamente volvería a comprar.;
2025-01-12;;;1;El producto llegó dañado y no cumplió con lo prometido.;
2025-03-26;;;4;El producto superó mis expectativas, muy recomendable.;
2025-04-05;;;2;El producto llegó dañado y no cumplió con lo prometido.;
2025-01-28;;;4;El servicio fue rápido y eficiente, estoy muy satisfecho.;
2025-06-13;;;1;Mala calidad, no lo recomiendo para nada.;
2025-03-01;;;3;El producto está bien, pero esperaba un poco más de calidad.;
