ReviewerName;Body;ReviewDate;Rating;ProductId;SourceId
C007;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-10-23;4;;
C028;Gran relación calidad-precio. Muy recomendable.;2024-10-15;3;;
C035;Entrega correcta, sin comentarios adicionales. OK.;2025-02-02;5;;
C021;Producto recibido, cumple su función. OK.;2025-04-24;4;;
C030;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2025-03-25;1;;
C021;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-03-16;3;;
C018;Es lo que esperaba, nada excepcional. OK.;2024-12-03;1;;
C013;Calidad superior, muy contento. Muy recomendable.;2025-01-06;5;;
C031;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2025-01-27;1;;
C019;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-04-10;5;;
C031;Envío tardío y producto dañado. No volvería a comprar.;2025-02-08;5;;
C023;Es lo que esperaba, nada excepcional. OK.;2025-04-10;3;;
C008;Es lo que esperaba, nada excepcional. OK.;2025-07-14;5;;
C013;Calidad superior, muy contento. Muy recomendable.;2025-04-25;5;;
C039;Me encanta este producto, excelente calidad. Muy recomendable.;2025-06-06;3;;
C024;Me encanta este producto, excelente calidad. Muy recomendable.;2024-09-16;5;;
C018;Me encanta este producto, excelente calidad. Muy recomendable.;2024-12-04;3;;
C032;Me encanta este producto, excelente calidad. Muy recomendable.;2024-11-24;3;;
C031;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-08-18;3;;
C008;Entrega correcta, sin comentarios adicionales. OK.;2025-01-05;1;;
C004;Gran relación calidad-precio. Muy recomendable.;2025-04-11;1;;
C008;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2024-11-07;5;;
C015;Entrega correcta, sin comentarios adicionales. OK.;2025-01-26;4;;
C038;Es lo que esperaba, nada excepcional. OK.;2024-11-26;5;;
C040;Producto recibido, cumple su función. OK.;2025-05-30;2;;
C006;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2024-12-05;1;;
C001;Gran relación calidad-precio. Muy recomendable.;2025-01-16;3;;
C015;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-09-19;4;;
C015;Satisface lo básico. OK.;2024-10-10;2;;
C008;No funciona como esperaba, decepcionado. No volvería a comprar.;2025-04-30;2;;
C004;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-11-13;5;;
C029;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-09-20;4;;
C033;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2025-08-03;5;;
C028;Satisface lo básico. OK.;2025-05-08;1;;
C015;Satisface lo básico. OK.;2024-11-17;1;;
C037;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-01-16;5;;
C018;Gran relación calidad-precio. Muy recomendable.;2025-02-02;4;;
C031;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-04-02;1;;
C022;Calidad superior, muy contento. Muy recomendable.;2025-04-19;4;;
C003;Envío tardío y producto dañado. No volvería a comprar.;2025-05-07;3;;
C026;Producto recibido, cumple su función. OK.;2024-10-12;5;;
C027;Gran relación calidad-precio. Muy recomendable.;2025-03-12;5;;
C029;Información suficiente, sin mayor novedad. OK.;2025-04-30;5;;
C019;Calidad superior, muy contento. Muy recomendable.;2025-07-13;1;;
C016;Es lo que esperaba, nada excepcional. OK.;2024-12-05;1;;
C027;Me encanta este producto, excelente calidad. Muy recomendable.;2025-01-20;1;;
C032;Es lo que esperaba, nada excepcional. OK.;2024-12-27;3;;
C031;Información suficiente, sin mayor novedad. OK.;2025-01-23;5;;
C025;Gran relación calidad-precio. Muy recomendable.;2024-12-27;2;;
C018;Entrega correcta, sin comentarios adicionales. OK.;2025-03-23;5;;
C001;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-11-17;5;;
C010;Calidad superior, muy contento. Muy recomendable.;2025-03-21;3;;
C035;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-06-09;2;;
C025;Calidad superior, muy contento. Muy recomendable.;2025-08-22;3;;
C025;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-01-03;1;;
C033;Es lo que esperaba, nada excepcional. OK.;2025-07-24;4;;
C034;Producto recibido, cumple su función. OK.;2025-07-02;4;;
C005;Envío tardío y producto dañado. No volvería a comprar.;2025-03-24;5;;
C006;Satisface lo básico. OK.;2025-03-03;3;;
C035;Me encanta este producto, excelente calidad. Muy recomendable.;2025-05-16;3;;
C006;Me encanta este producto, excelente calidad. Muy recomendable.;2024-10-24;1;;
C011;Muy mala calidad, se rompió rápido. No volvería a comprar.;2025-08-21;3;;
C019;Calidad superior, muy contento. Muy recomendable.;2025-07-01;2;;
C027;No funciona como esperaba, decepcionado. No volvería a comprar.;2025-06-18;2;;
C040;Satisface lo básico. OK.;2024-09-29;2;;
C038;Calidad superior, muy contento. Muy recomendable.;2024-10-22;3;;
C017;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2025-04-19;5;;
C005;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-11-17;3;;
C017;Envío tardío y producto dañado. No volvería a comprar.;2025-06-04;4;;
C007;Gran relación calidad-precio. Muy recomendable.;2025-03-14;5;;
C019;Calidad superior, muy contento. Muy recomendable.;2025-04-26;1;;
C004;Entrega correcta, sin comentarios adicionales. OK.;2025-04-20;2;;
C023;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2024-10-31;3;;
C007;Producto recibido, cumple su función. OK.;2025-04-08;4;;
C038;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-07-29;3;;
C027;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2024-12-11;3;;
C033;Información suficiente, sin mayor novedad. OK.;2025-05-05;4;;
C022;Entrega correcta, sin comentarios adicionales. OK.;2025-08-06;2;;
C026;Satisface lo básico. OK.;2025-03-10;1;;
C001;Me encanta este producto, excelente calidad. Muy recomendable.;2025-01-24;3;;
C038;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-07-20;2;;
C002;Pésima atención al cliente. No volvería a comprar.;2025-03-30;5;;
C005;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2024-09-20;3;;
C008;Me encanta este producto, excelente calidad. Muy recomendable.;2025-04-11;4;;
C007;Gran relación calidad-precio. Muy recomendable.;2025-07-06;4;;
C024;Pésima atención al cliente. No volvería a comprar.;2025-02-11;5;;
C027;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2024-11-02;4;;
C003;No funciona como esperaba, decepcionado. No volvería a comprar.;2025-01-29;4;;
C024;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-12-09;3;;
C026;Me encanta este producto, excelente calidad. Muy recomendable.;2025-01-24;1;;
C039;Producto recibido, cumple su función. OK.;2025-03-27;2;;
C037;Gran relación calidad-precio. Muy recomendable.;2025-05-30;5;;
C015;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2024-11-12;1;;
C010;Satisface lo básico. OK.;2025-05-08;2;;
C002;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-05-15;5;;
C002;Me encanta este producto, excelente calidad. Muy recomendable.;2025-07-11;4;;
C008;Entrega correcta, sin comentarios adicionales. OK.;2025-01-27;3;;
C038;Gran relación calidad-precio. Muy recomendable.;2025-05-23;5;;
C034;Me encanta este producto, excelente calidad. Muy recomendable.;2025-08-13;4;;
C028;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2024-09-14;4;;
C006;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-08-11;2;;
C040;Pésima atención al cliente. No volvería a comprar.;2024-09-14;3;;
C039;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2024-12-29;5;;
C007;Producto recibido, cumple su función. OK.;2024-10-13;5;;
C028;No funciona como esperaba, decepcionado. No volvería a comprar.;2025-02-14;3;;
C026;Me encanta este producto, excelente calidad. Muy recomendable.;2025-04-06;4;;
C017;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2024-09-27;4;;
C006;Producto recibido, cumple su función. OK.;2025-02-04;1;;
C009;Pésima atención al cliente. No volvería a comprar.;2024-11-30;5;;
C008;Calidad superior, muy contento. Muy recomendable.;2025-08-18;3;;
C020;Gran relación calidad-precio. Muy recomendable.;2024-12-28;2;;
C031;Me encanta este producto, excelente calidad. Muy recomendable.;2025-03-18;5;;
C008;Satisface lo básico. OK.;2025-05-21;4;;
C040;Pésima atención al cliente. No volvería a comprar.;2025-08-31;5;;
C002;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-03-24;3;;
C012;Satisface lo básico. OK.;2024-10-12;4;;
C010;Producto recibido, cumple su función. OK.;2025-07-29;5;;
C025;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-06-25;3;;
C021;Satisface lo básico. OK.;2024-11-12;1;;
C010;Gran relación calidad-precio. Muy recomendable.;2025-08-19;1;;
C029;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2024-11-07;4;;
C018;Gran relación calidad-precio. Muy recomendable.;2025-07-17;3;;
C008;Gran relación calidad-precio. Muy recomendable.;2025-01-07;5;;
C003;Gran relación calidad-precio. Muy recomendable.;2025-08-16;1;;
C020;Información suficiente, sin mayor novedad. OK.;2025-05-06;3;;
C008;Calidad superior, muy contento. Muy recomendable.;2025-06-16;2;;
C035;Satisface lo básico. OK.;2024-12-01;3;;
C026;Producto recibido, cumple su función. OK.;2025-02-02;1;;
C005;Satisface lo básico. OK.;2025-02-06;5;;
C027;Calidad superior, muy contento. Muy recomendable.;2025-09-03;3;;
C040;Envío tardío y producto dañado. No volvería a comprar.;2025-07-30;4;;
C016;Calidad superior, muy contento. Muy recomendable.;2024-12-19;1;;
C020;Información suficiente, sin mayor novedad. OK.;2025-03-27;2;;
C033;Pésima atención al cliente. No volvería a comprar.;2024-12-26;2;;
C023;Información suficiente, sin mayor novedad. OK.;2025-05-16;1;;
C017;Gran relación calidad-precio. Muy recomendable.;2025-06-27;1;;
C032;Pésima atención al cliente. No volvería a comprar.;2024-11-21;4;;
C040;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-06-28;4;;
C031;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-04-26;5;;
C023;Envío tardío y producto dañado. No volvería a comprar.;2025-01-20;4;;
C004;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-08-05;1;;
C039;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2024-11-20;5;;
C029;Satisface lo básico. OK.;2024-10-15;2;;
C039;No funciona como esperaba, decepcionado. No volvería a comprar.;2025-08-13;4;;
C022;Producto recibido, cumple su función. OK.;2024-12-29;2;;
C016;Entrega correcta, sin comentarios adicionales. OK.;2024-12-19;5;;
C011;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-02-27;4;;
C039;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-08-11;3;;
C036;Envío tardío y producto dañado. No volvería a comprar.;2025-05-07;5;;
C022;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-03-18;3;;
C009;Muy mala calidad, se rompió rápido. No volvería a comprar.;2025-04-08;5;;
C022;Satisface lo básico. OK.;2025-07-28;4;;
C024;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-06-13;2;;
C032;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-06-26;1;;
C007;Pésima atención al cliente. No volvería a comprar.;2024-12-18;1;;
C040;Calidad superior, muy contento. Muy recomendable.;2025-06-27;2;;
C040;Información suficiente, sin mayor novedad. OK.;2025-02-01;1;;
C024;No funciona como esperaba, decepcionado. No volvería a comprar.;2025-01-29;5;;
C029;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-04-08;4;;
C024;Pésima atención al cliente. No volvería a comprar.;2025-01-31;4;;
C025;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2025-06-23;2;;
C009;Producto recibido, cumple su función. OK.;2024-10-20;4;;
C036;Satisface lo básico. OK.;2025-07-12;3;;
C011;Gran relación calidad-precio. Muy recomendable.;2025-06-30;4;;
C015;Es lo que esperaba, nada excepcional. OK.;2025-08-31;4;;
C026;No funciona como esperaba, decepcionado. No volvería a comprar.;2025-02-28;1;;
C015;Me encanta este producto, excelente calidad. Muy recomendable.;2024-09-13;3;;
C009;Calidad superior, muy contento. Muy recomendable.;2024-09-22;2;;
C029;Muy mala calidad, se rompió rápido. No volvería a comprar.;2025-09-04;3;;
C010;Pésima atención al cliente. No volvería a comprar.;2024-12-17;4;;
C019;Me encanta este producto, excelente calidad. Muy recomendable.;2025-08-20;2;;
C040;Muy mala calidad, se rompió rápido. No volvería a comprar.;2025-01-01;5;;
C002;Pésima atención al cliente. No volvería a comprar.;2025-05-13;2;;
C028;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-05-13;5;;
C012;Muy mala calidad, se rompió rápido. No volvería a comprar.;2024-12-19;3;;
C034;Pésima atención al cliente. No volvería a comprar.;2024-12-04;1;;
C031;Calidad superior, muy contento. Muy recomendable.;2025-03-06;3;;
C023;Es lo que esperaba, nada excepcional. OK.;2025-05-13;1;;
C022;Producto llegó rápido y funciona perfecto. Muy recomendable.;2024-12-08;3;;
C030;Entrega correcta, sin comentarios adicionales. OK.;2024-10-25;2;;
C005;Entrega correcta, sin comentarios adicionales. OK.;2025-08-26;3;;
C003;Producto recibido, cumple su función. OK.;2025-04-05;3;;
C026;Satisface lo básico. OK.;2025-01-14;3;;
C013;Me encanta este producto, excelente calidad. Muy recomendable.;2024-10-13;3;;
C008;Entrega correcta, sin comentarios adicionales. OK.;2025-02-21;4;;
C022;Entrega correcta, sin comentarios adicionales. OK.;2024-09-24;4;;
C034;Me encanta este producto, excelente calidad. Muy recomendable.;2025-02-08;1;;
C039;Información suficiente, sin mayor novedad. OK.;2024-12-08;3;;
C007;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-04-10;4;;
C028;Calidad superior, muy contento. Muy recomendable.;2025-03-18;4;;
C023;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2025-04-26;1;;
C026;Muy satisfecho con la compra, lo recomiendo. Muy recomendable.;2025-08-29;2;;
C029;Me encanta este producto, excelente calidad. Muy recomendable.;2025-05-16;3;;
C025;Producto recibido, cumple su función. OK.;2024-11-08;2;;
C024;Me encanta este producto, excelente calidad. Muy recomendable.;2024-11-24;2;;
C024;Producto llegó rápido y funciona perfecto. Muy recomendable.;2025-05-09;1;;
C012;No cumple con lo anunciado, insatisfecho. No volvería a comprar.;2024-11-30;1;;
C017;Información suficiente, sin mayor novedad. OK.;2024-11-04;3;;
C013;Me encanta este producto, excelente calidad. Muy recomendable.;2025-01-25;2;;
C006;Es lo que esperaba, nada excepcional. OK.;2024-10-07;3;;
